id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
7371496,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,460,,US,LA,,T,U,I,,9df5dff086,
7371497,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,2000,kg,CN,SG,MY,T,W,I,,4c99164a73,
7371498,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,2000,kg,SG,MY,,T,W,E,,f79e260832,
7371499,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,3500,kg,SG,MY,,T,W,E,,a8441d3e5d,
7371500,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,580,kg,SG,MY,,T,W,E,,2bde638f68,
7371501,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,400,kg,SG,MY,,T,W,E,,bf5f3b7afc,
7371502,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,450,kg,SG,MY,,T,W,E,,02dd8d2555,
7371503,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,2500,kg,SG,MY,,T,W,E,,95ff75e37f,
7371504,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,185,,MX,SG,VN,T,W,I,,39fa21e465,
7371505,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,derivatives,1,kg,US,TW,CN,T,I,I,,,
7371506,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,shoes,164,,US,MX,SG,T,W,I,,215abf6709,
7371507,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,shoes,80,,US,MX,VN,T,W,I,,d4a70cc41b,
7371508,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,,SG,VN,,T,W,I,,1b78009e5a,
7856071,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,1000,"",JP,SG,MY,T,W,E,"",756bd213b8,""
7856014,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,15,"",US,MX,MY,T,W,I,"",733ba97360,""
7856015,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,215,"",US,LA,"",T,U,I,"",b0bcedfaa1,""
7856016,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,250,"",US,JP,MY,T,W,I,"",90fede4243,""
7856017,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,786,"",US,JP,MY,T,W,I,"",fc71cd9ce0,""
7856018,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,3,"",US,JP,MY,T,W,I,"","",""
7856019,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,2,"",US,MX,LA,T,W,I,"",f046a66059,""
7856020,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,20,"",US,JP,MY,T,W,I,"",0add7175a1,""
7856021,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,160,"",US,MX,LA,T,W,I,"",30ad888398,""
7856022,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),195,"",US,MX,LA,T,W,I,"",f7fbb5f3cf,""
7856023,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),20,"",US,MX,LA,T,W,I,"",001140fa58,""
7856024,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,308,"",US,MX,LA,T,W,I,"",9f0140c2bf,""
7856025,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (large),40,"",US,MX,LA,T,W,I,"",c27c1f6683,""
