App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,shoes,,ZA,,,,,,,,,,6,,,,,,,,,,,39,,,,142,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,kg,US,,,,,,,57.154,,1,,2,,126,1,,,,,,,108,38.556,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,kg,ZA,,,,,,,,,,,,,,,,,,,,,5.5,7.5,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,m,JP,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,IT,,,,,,,,,,,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,JP,,,,,,,,,16,665,4948,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,MX,,,,,,,,,2,,,,,5,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,SG,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,TH,,,,,,,,,,,,,,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,US,,,,,,,,,,,,686,14,7,,7600,8,,56,913,309,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,XX,,,,,,,,1,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,cm,JP,,,,,,,29904,5210,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,LA,,,,,,,,,,,,,,,,,,1572,,,6,,,,870,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,MX,,,,,,,,,13,,,,,,,,,,,,,,,29.51,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,MY,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,SG,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,TH,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,US,,,,,,,57.154,30.845,175.276,109,109,230,,,,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,ZA,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,JP,,,,,,178,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,LA,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,TW,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,US,,,,,,,54.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m2,JP,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m2,LA,,,,,,,,,,,,,,,,,60,368,,,63,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m2,US,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,pairs,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,ES,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,FR,,,444,,,,,,900,,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,GB,,,4,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,HK,,,,,,,,,,,,10,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,ID,,,,,973,750,26,,,47,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,IT,,,,,,,,,,,500,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,JP,,,,1016,3937,17014,8366,7413,3803,5916,10287,11379,3672,5,,,,,,,,42,,,515,10053,2517,3552,1540,,,,,,,,,,,,,,,
II,Manis javanica,skins,,LA,,,,,,,,,,,,,4020,,,4962,8519,19688,16083,6553,9485,8093,6574,13685,14342,5941,,,300,,,1,,,,,,,,,,,,
II,Manis javanica,skins,,MX,,,,,,,,,,3,,60,,,,,55,1282,,,,159,250,3,150,300,,,,,,,,,,,,,,,,,,
