App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,shoes,,FR,,,,,,,,,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,GB,,,,,,,,,229,5,319,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,JP,,,,,,,,,,,,,,,,7,5,,,1,,,,2,2,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,NG,,,,,,,,,,,,12,24,53,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,SA,,,,,,,,,100,17,60,23,22,39,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,SH,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,US,,,215,,,,221,434,389,726,757,326,118,24,39,46,107,694,160.5,38.5,242,,202,598,1736,1677,2,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,kg,MX,,,,,,,57.154,,1,,,,126,1,,,,,,,108,38.556,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,kg,TW,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,m,US,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,CA,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,FR,,,,,,,,,,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,HK,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,JP,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,MX,,,,,,,,,,,,686,,,,7600,,,46,912,300,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skin pieces,,US,,,,,,,,1,918,665,4956,819,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,cm,US,,,,,,,29904,5210,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,CN,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,JP,,,,,,,170,,,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,MX,,,,,,,57.154,30.845,162.276,,,230,,,,1366,,1500,,,,,,,870,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,SG,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,kg,US,,,,,,,,,,,,,,,,,,72,,,6,8,,29.51,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,JP,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,MX,,,,,,,54.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m,US,,,,,,178,,,66,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m2,MX,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,m2,US,,,,,,,,,59,,,,,,,,60,368,,,63,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,pairs,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,CA,,,,,,,,,,,,,,,,,,2,7,2,119,45,69,,,,,,,,,,,,,,,,,,,,,
