,year,court,lat,lng,confidence
303,2018,芒市人民法院,24.44503386,98.59295169,80
304,2018,杭州市下城区人民法院,30.31433554,120.1873695,80
305,2014,公诉机关陇川县人民检察院,24.18983592,97.80211766,80
306,2017,大田县人民法院,25.69865021,117.8520019,80
307,2017,勐海县人民法院,21.95735901,100.4454754,80
308,2014,广东省阳东县人民法院,21.8708472,111.9612656,80
309,2014,佛山市中级人民法院,22.99876481,113.1449799,75
310,2013,凭祥市人民法院,22.12190947,106.771399,80
311,2012,江山市人民法院,28.75665483,118.6492221,80
312,2013,深圳市罗湖区人民法院,22.56167959,114.1524785,75
313,2017,安宁市人民法院,24.92609861,102.4697904,75
314,2014,防城港市港口区人民法院,21.64957575,108.3892199,80
315,2014,中山市中级人民法院,22.52048554,113.3968375,80
316,2017,兰溪市人民法院,29.20950576,119.467672,80
317,2014,梁河县人民法院,24.81974385,98.31455065,80
318,2015,清远市清城区人民法院,23.72568395,113.0324316,80
319,2010,慈溪市人民法院,30.16556179,121.2453334,80
320,2018,肇庆市中级人民法院,23.08595331,112.5145935,75
321,2017,梁河县人民法院,24.81974385,98.31455065,80
322,2018,武汉市汉阳区人民法院,30.5437922,114.2589722,80
323,2017,梁河县人民法院,24.81974385,98.31455065,80
324,2018,靖西市人民法院,23.14831334,106.4202666,75
325,2018,芒市人民法院,24.44503386,98.59295169,80
326,2014,茶陵县人民法院,26.77967881,113.5348856,75
327,2017,樟树市人民法院,28.06411899,115.5469752,80
328,2015,衢州市中级人民法院,28.94170302,118.8792927,80
329,2006,鹤山市人民法院,22.78205934,112.9864014,80
330,2017,景洪市人民法院,22.00949876,100.7730667,80
331,2017,佛山市禅城区人民法院,23.02179567,113.1154982,90
332,2014,广州市花都区人民法院,23.37862423,113.2155254,90
333,2016,宁德市蕉城区人民法院,26.64237743,119.5493592,80
334,2018,临沂经济技术开发区人民法院,35.05093413,118.3503097,75
335,2014,深圳市罗湖区人民法院,22.56167959,114.1524785,75
336,2017,诸暨市人民法院,29.72031747,120.2575927,80
337,2018,芒市人民法院,24.44503386,98.59295169,80
338,2014,南京市中级人民法院,32.05597837,118.7875666,80
339,2017,南宁市兴宁区人民法院,22.85822613,108.3730277,75
340,2018,芒市人民法院,24.44503386,98.59295169,80
341,2017,安宁市人民法院,24.92609861,102.4697904,75
342,2015,石家庄市长安区人民法院,38.05928972,114.585129,80
343,2017,诸暨市人民法院,29.72031747,120.2575927,80
344,2016,磐安县人民法院,29.05335031,120.458538,80
345,2016,昆明市盘龙区人民法院,25.07373012,102.7258984,90
346,2018,北流市人民法院,22.71479971,110.3565992,80
347,2016,佛山市顺德区人民法院,22.82830933,113.2585208,80
